"","sample_names.1.","Phylum","Class","Order","Family","Genus","Species","SUM"
"1","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales_unclassified","Micrococcales_unclassified",NA,1
"2","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Aquificae","Aquificae_unclassified","Aquificae_unclassified","Aquificae_unclassified","Aquificae_unclassified",NA,5
"3","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacteriaceae_unclassified",NA,412
"4","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium",NA,228
"5","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Thermovibrio",NA,22
"6","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",NA,903
"7","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,29
"8","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,1
"9","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacterales_unclassified","Campylobacterales_unclassified",NA,9
"10","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Nitratiruptoraceae","Hydrogenimonas",NA,6
"11","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Nitratiruptoraceae","Nitratiruptoraceae_unclassified",NA,6
"12","FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Thiovulaceae","Sulfurimonas",NA,42
