sample_names[1]	Phylum	Class	Order	Family	Genus	Species	SUM
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Micrococcales_unclassified	Micrococcales_unclassified		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		5
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified		412
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium		228
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio		22
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified		903
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified		29
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacterales_unclassified	Campylobacterales_unclassified		9
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Hydrogenimonas		6
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Nitratiruptoraceae_unclassified		6
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas		42
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Thiovulaceae_unclassified		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter		51
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia		2
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautiliaceae_unclassified		37
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	uncultured		3
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		86886
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified		1258
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus		85557
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified		74
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus		6
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris		365
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified		568
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcaceae_unclassified		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria_fa	Candidatus_Nomurabacteria_ge		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Phragmoplastophyta	Embryophyta	Liliopsida	Poales_fa	Hordeum		14
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_ge		17
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderiaceae_unclassified		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Roseateles		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Variovorax		1
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		2
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified		3
FS903_80_13H_CCTCGG_L002_trim_paired_merged_rRNA.nr_v132	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga		2
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified		1
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriales_unclassified	Corynebacteriales_unclassified		2
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardiaceae_unclassified		1
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rhodoluna		4
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Micrococcales_unclassified	Micrococcales_unclassified		2
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		10
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_unclassified		3
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		3
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex		19
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified		39
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		25574
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium		3904
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified		2057684
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium		1671523
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio		1018612
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified		2074
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Asgardaeota	Lokiarchaeia	Lokiarchaeia_or	Lokiarchaeia_fa	Lokiarchaeia_ge		1
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified		68015
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_unclassified		4
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge		5
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Simkaniaceae_unclassified		5
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcales_unclassified	Desulfurococcales_unclassified		5
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Desulfurococcales	Ignicoccaceae	Ignicoccus		1
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum		2
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacterales_unclassified	Campylobacterales_unclassified		29
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Hydrogenimonas		42
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Nitratiruptoraceae_unclassified		66
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas		31
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter		19
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		96352
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobaceae_unclassified		5294
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus		33686
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus		8
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus		7
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	uncultured		4
FS904_13H_80_CCTCGG_L007_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified		3738
