,Vent Site,Phylum,Class,Order,Family,Genus,SUM,Normalized Counts,Normalized Counts,,
3,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,412,0.460479256,0.460479256,,89472
4,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,228,0.254828326,0.254828326,,
5,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,22,0.024588698,0.024588698,,
6,Marker 113,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,903,1.009254292,1.009254292,,
7,Marker 113,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,29,0.032412375,0.032412375,,
12,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,42,0.04694206,0.04694206,,
14,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,51,0.057001073,0.057001073,,
16,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,37,0.04135372,0.04135372,,
19,Marker 113,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,1258,1.406026466,1.406026466,,
20,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,85557,95.6243294,95.6243294,,
23,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,365,0.407948856,0.407948856,,
24,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,568,0.634835479,0.634835479,,
46,Marker 33,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,39,0.000658755,0.000658755,,5920255
47,Marker 33,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,25574,0.431974636,0.431974636,,
48,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,3904,0.065943105,0.065943105,,
49,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2057684,34.75667856,34.75667856,,
50,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1671523,28.23396965,28.23396965,,
51,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1018612,17.20554267,17.20554267,,
52,Marker 33,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,2074,0.035032275,0.035032275,,
54,Marker 33,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,68015,1.148852541,1.148852541,,
62,Marker 33,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,42,0.000709429,0.000709429,,
63,Marker 33,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,66,0.001114817,0.001114817,,
67,Marker 33,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,5294,0.089421824,0.089421824,,
68,Marker 33,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,33686,0.568995761,0.568995761,,
72,Marker 33,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,3738,0.063139172,0.063139172,,
73,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,989,0.016705362,0.016705362,,
74,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,19224,0.324715743,0.324715743,,
77,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,868396,14.66821953,14.66821953,,
78,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,1282,0.021654473,0.021654473,,
79,Marker 33,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,16070,0.271441011,0.271441011,,
80,Marker 33,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,223,0.00376673,0.00376673,,
81,Marker 33,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,32220,0.544233314,0.544233314,,
82,Marker 33,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,91600,1.547230651,1.547230651,,
130,Anenome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,3085,0.196490057,0.196490057,,1570074
131,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,13676,0.871052843,0.871052843,,
132,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,38409,2.446348979,2.446348979,,
133,Anenome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,1060,0.067513601,0.067513601,,
135,Anenome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,21127,1.345622507,1.345622507,,
136,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,571,0.036368176,0.036368176,,
137,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,379330,24.16031551,24.16031551,,
138,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,152773,9.730429654,9.730429654,,
139,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,148056,9.429994128,9.429994128,,
140,Anenome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,2124,0.135281971,0.135281971,,
