	Vent.Site	Phylum	Class	Order	Family	Genus	Species	Normalized.Counts	
3	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	0.233757539	
4	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	0.129360968	
6	Marker 113	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	NA	0.512337519	
18	Marker 113	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	49.29674158	
19	Marker 113	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	NA	0.713754816	
20	Marker 113	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	48.5427033	
21	Marker 113	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified	NA	0.041985577	
23	Marker 113	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	NA	0.207091024	
24	Marker 113	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified	NA	0.322267675	 
47	Marker 33	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.425062569	
48	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	NA	0.064887944	
49	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	34.20053366	
50	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	27.78219524	
51	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	NA	16.93023516	
52	Marker 33	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	NA	0.03447172	
54	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	1.130469643	
63	Marker 33	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Nitratiruptoraceae_unclassified	NA	0.001096979	
66	Marker 33	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	1.601455724	
67	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobaceae_unclassified	NA	0.087990977	
68	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	NA	0.559891206	
72	Marker 33	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	NA	0.062128876	
73	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	0.016438057	
74	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified	NA	0.319519936	
77	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	NA	14.43351196	
78	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified	NA	0.021307977	
79	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	NA	0.267097657	
80	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	NA	0.003706458	
81	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcaceae_unclassified	NA	0.535524986	
82	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	1.522473268	 
130	Anenome	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.190894133	
131	Anenome	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	NA	0.846245759	
132	Anenome	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified	NA	2.376678368	
133	Anenome	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified	NA	0.065590853	
