,Vent Site,Phylum,Class,Order,Family,Genus,Normalized Counts
3,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.460479256
4,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.254828326
5,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.024588698
6,Marker 113,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,1.009254292
7,Marker 113,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.032412375
12,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.04694206
14,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.057001073
16,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.04135372
19,Marker 113,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,1.406026466
20,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,95.6243294
23,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.407948856
24,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.634835479
46,Marker 33,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.000658755
47,Marker 33,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.431974636
48,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.065943105
49,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,34.75667856
50,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,28.23396965
