sample_names[1]	Phylum	Class	Order	Family	Genus	Species	SUM
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		114
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex		8
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified		18
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified		2
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		117713
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium		1451
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified		2272425
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium		813154
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio		365792
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified		1348
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Arthropoda	Maxillopoda	Cyclopoida	Cyclopoida_fa	Cyclopoida_ge		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified		339573
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarcicella		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcaceae_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcales_unclassified	Desulfurococcales_unclassified		5
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium		2
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteaceae_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Thermoprotei_unclassified	Thermoprotei_unclassified	Thermoprotei_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacterales_unclassified	Campylobacterales_unclassified		19
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Hydrogenimonas		2
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovaceae_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas		89
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Thiovulaceae_unclassified		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacteria_unclassified	Campylobacteria_unclassified	Campylobacteria_unclassified		71
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter		1198
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia		1
FS906_80_TP1_13H_AAGGGA_L006_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautiliaceae_unclassified		127
