,Vent.Site,Phylum,Class,Order,Family,Genus,SUM,Normalized.Counts,Normalized.Counts,,
6,Marker 113,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,117713,3.007787188,3.007787188,,3913608
7,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1451,0.037075762,0.037075762,,
8,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2272425,58.06470653,58.06470653,,
9,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,813154,20.77760471,20.77760471,,
10,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,365792,9.346669365,9.346669365,,
11,Marker 113,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,1348,0.03444392,0.03444392,,
14,Marker 113,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,339573,8.676724904,8.676724904,,
30,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,1198,0.030611139,0.030611139,,
33,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,570,0.014564565,0.014564565,,9435891
38,Marker 113,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,384,0.009811918,0.009811918,,
74,Anemone,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,39221,0.41565762,0.41565762,,
75,Anemone,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,148491,1.573682867,1.573682867,,
76,Anemone,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,297090,3.1485103,3.1485103,,
78,Anemone,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,6475,0.068620971,0.068620971,,
82,Anemone,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,211807,2.244695281,2.244695281,,
83,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1437,0.015229086,0.015229086,,
84,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2113542,22.39896582,22.39896582,,
85,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,936070,9.920313832,9.920313832,,
86,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,250690,2.656770834,2.656770834,,
89,Anemone,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,673677,7.139516554,7.139516554,,
120,Anemone,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,404,0.004281525,0.004281525,,
154,Anemone,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,45083,0.477782119,0.477782119,,
155,Anemone,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,146988,1.557754323,1.557754323,,
156,Anemone,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,306945,3.252951947,3.252951947,,
159,Anemone,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,7648,0.081052229,0.081052229,,
163,Anemone,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,248838,2.637143647,2.637143647,,
164,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1197,0.012685606,0.012685606,,
165,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2224555,23.57546309,23.57546309,,
166,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,874110,9.263672079,9.263672079,,
167,Anemone,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,240401,2.547729727,2.547729727,,
170,Anemone,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,660816,7.00321782,7.00321782,,
202,Anemone,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,406,0.00430272,0.00430272,,
