,Vent.Site,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts
1,Marker 113,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,1
2,Marker 113,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,114
3,Marker 113,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,8
4,Marker 113,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,18
5,Marker 113,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,2
6,Marker 113,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,117713
7,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,1451
8,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,2272425
9,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,813154
10,Marker 113,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,365792
11,Marker 113,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,1348
12,Marker 113,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida_fa,Cyclopoida_ge,NA,1
13,Marker 113,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA,1
14,Marker 113,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,339573
15,Marker 113,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,NA,1
16,Marker 113,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,1
17,Marker 113,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,NA,1
18,Marker 113,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcaceae_unclassified,NA,1
19,Marker 113,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcales_unclassified,Desulfurococcales_unclassified,NA,5
20,Marker 113,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,NA,2
21,Marker 113,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteaceae_unclassified,NA,1
22,Marker 113,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,NA,1
23,Marker 113,Crenarchaeota,Thermoprotei,Thermoprotei_unclassified,Thermoprotei_unclassified,Thermoprotei_unclassified,NA,1
24,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,19
25,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,2
26,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,NA,1
27,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,89
28,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,NA,1
29,Marker 113,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,71
30,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,1198
31,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,1
32,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,127
33,Marker 113,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,570
34,Marker 113,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,1
35,Marker 113,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,136092
36,Marker 113,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,NA,5
37,Marker 113,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,NA,9
38,Marker 113,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,NA,384
39,Marker 113,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriales_unclassified,Methanobacteriales_unclassified,NA,3
40,Marker 113,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,NA,9
41,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,NA,241
42,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,NA,4
43,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,NA,3
44,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,NA,1
45,Marker 113,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,NA,3
46,Marker 113,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,NA,2
47,Marker 113,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,NA,1
48,Marker 113,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,NA,2
49,Marker 113,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA,1
50,Marker 113,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified,NA,3
51,Marker 113,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,NA,22
