	Vent.Site	Phylum	Class	Order	Family	Genus	Species	Normalized.Counts	
2	Marker 113	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.002814688	
6	Marker 113	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	2.90636322	
7	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	NA	0.035825551	
8	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	56.10673792	
9	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	20.07697432	
10	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	NA	9.031495375	
11	Marker 113	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	NA	0.033282455	
14	Marker 113	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	8.38414175	
30	Marker 113	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	NA	0.029578918	
32	Marker 113	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautiliaceae_unclassified	NA	0.003135662	
33	Marker 113	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Thioreductor	NA	0.014073442	
35	Marker 113	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	3.360145297	
38	Marker 113	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	NA	0.009481055	
41	Marker 113	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	0.00595035	 
74	Anenome	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.412219896	
75	Anenome	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	NA	1.560667615	
76	Anenome	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified	NA	3.12247033	
78	Anenome	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified	NA	0.068053436	
79	Anenome	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermaceae_unclassified	NA	0.001334793	
82	Anenome	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	2.226130375	
83	Anenome	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	NA	0.015103133	
84	Anenome	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	22.21371365	
85	Anenome	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	9.838267199	
86	Anenome	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	NA	2.634797829	
89	Anenome	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	7.080468695	
95	Anenome	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	0.401373387	
98	Anenome	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	0.001334793	
120	Anenome	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	NA	0.004246114	
140	Anenome	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonadaceae_unclassified	NA	0.001408365	
154	Anenome	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.47383059	
155	Anenome	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	NA	1.54487081	
