	Vent.Site	Phylum	Class	Order	Family	Genus	Normalized.Counts
6	Marker 113	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	3.007787188
7	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	0.037075762
8	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	58.06470653
9	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	20.77760471
10	Marker 113	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	9.346669365
11	Marker 113	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	0.03444392
14	Marker 113	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	8.676724904
30	Marker 113	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	0.030611139
33	Marker 113	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Thioreductor	0.014564565
38	Marker 113	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	0.009811918
74	Anemone	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	0.41565762
75	Anemone	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	1.573682867
76	Anemone	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified	3.1485103
78	Anemone	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified	0.068620971
82	Anemone	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	2.244695281
83	Anemone	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	0.015229086
84	Anemone	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	22.39896582
85	Anemone	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	9.920313832
86	Anemone	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	2.656770834
89	Anemone	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	7.139516554
120	Anemone	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	0.004281525
154	Anemone	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	0.477782119
155	Anemone	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	1.557754323
156	Anemone	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified	3.252951947
159	Anemone	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified	0.081052229
163	Anemone	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	2.637143647
164	Anemone	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	0.012685606
