"","sample_names.1.","Phylum","Class","Order","Family","Genus","Species","SUM"
"1","FS891_RNA_merged_rRNA.nr_v132","Acetothermia","Acetothermiia","Acetothermiia_or","Acetothermiia_fa","Acetothermiia_ge",NA,288
"2","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Acidobacteria_unclassified","Acidobacteria_unclassified","Acidobacteria_unclassified","Acidobacteria_unclassified",NA,27
"3","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","PAUC26f",NA,24
"4","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","c5LKS83","c5LKS83_or","c5LKS83_fa","c5LKS83_ge",NA,1
"5","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","Acanthopleuribacter",NA,11
"6","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Subgroup_26","Subgroup_26_or","Subgroup_26_fa","Subgroup_26_ge",NA,6
"7","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge",NA,254
"8","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Subgroup_6","Subgroup_6_unclassified","Subgroup_6_unclassified","Subgroup_6_unclassified",NA,35
"9","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Subgroup_6","Unknown_Order","Unknown_Family","Unknown_Family_unclassified",NA,3
"10","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA,29
"11","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23",NA,10
"12","FS891_RNA_merged_rRNA.nr_v132","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculaceae_unclassified",NA,2
"13","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Acidimicrobiia","Acidimicrobiia_unclassified","Acidimicrobiia_unclassified","Acidimicrobiia_unclassified",NA,47
"14","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Acidimicrobiia","Actinomarinales","uncultured","uncultured_ge",NA,31
"15","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Microtrichaceae_unclassified",NA,49
"16","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",NA,2003
"17","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichales_unclassified","Microtrichales_unclassified",NA,149
