sample_names[1]	Phylum	Class	Order	Family	Genus	Species	SUM
FS891_RNA_merged_rRNA.nr_v132	Acetothermia	Acetothermiia	Acetothermiia_or	Acetothermiia_fa	Acetothermiia_ge		288
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Acidobacteria_unclassified	Acidobacteria_unclassified	Acidobacteria_unclassified	Acidobacteria_unclassified		27
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	PAUC26f		24
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	c5LKS83	c5LKS83_or	c5LKS83_fa	c5LKS83_ge		1
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter		11
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Subgroup_26	Subgroup_26_or	Subgroup_26_fa	Subgroup_26_ge		6
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Subgroup_6	Subgroup_6_or	Subgroup_6_fa	Subgroup_6_ge		254
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Subgroup_6	Subgroup_6_unclassified	Subgroup_6_unclassified	Subgroup_6_unclassified		35
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Subgroup_6	Unknown_Order	Unknown_Family	Unknown_Family_unclassified		3
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10		29
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23		10
FS891_RNA_merged_rRNA.nr_v132	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae_unclassified		2
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Acidimicrobiia	Acidimicrobiia_unclassified	Acidimicrobiia_unclassified	Acidimicrobiia_unclassified		47
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Acidimicrobiia	Actinomarinales	uncultured	uncultured_ge		31
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae_unclassified		49
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group		2003
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichales_unclassified	Microtrichales_unclassified		149
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified		2
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Micrococcales_unclassified	Micrococcales_unclassified		1
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		139
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_unclassified		16
FS891_RNA_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified		12
FS891_RNA_merged_rRNA.nr_v132	Aegiribacteria	Aegiribacteria_cl	Aegiribacteria_or	Aegiribacteria_fa	Aegiribacteria_ge		23
FS891_RNA_merged_rRNA.nr_v132	Altiarchaeota	Altiarchaeia	Altiarchaeia_or	Altiarchaeia_fa	Altiarchaeia_ge		11
FS891_RNA_merged_rRNA.nr_v132	AncK6	AncK6_cl	AncK6_or	AncK6_fa	AncK6_ge		245
FS891_RNA_merged_rRNA.nr_v132	Annelida	Annelida_unclassified	Annelida_unclassified	Annelida_unclassified	Annelida_unclassified		208
FS891_RNA_merged_rRNA.nr_v132	Annelida	Polychaeta	Phyllodocida	Phyllodocida_fa	Phyllodocida_ge		3
FS891_RNA_merged_rRNA.nr_v132	Annelida	Polychaeta	Polychaeta_unclassified	Polychaeta_unclassified	Polychaeta_unclassified		1084
FS891_RNA_merged_rRNA.nr_v132	Annelida	Polychaeta	Sabellida	Sabellida_fa	Sabellida_ge		863
FS891_RNA_merged_rRNA.nr_v132	Annelida	Polychaeta	Terebellida	Terebellida_fa	Terebellida_ge		3163
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		784
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex		182
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified		2853
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified		1193
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermaceae_unclassified		6
FS891_RNA_merged_rRNA.nr_v132	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Persephonella		32
