,Sample.Name,Phylum,Class,Order,Family,Genus,Count,,,,
16,FS891_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,2003,0.147071457,0.147071457,,
28,FS891_RNA,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,1084,0.07959334,0.07959334,,
29,FS891_RNA,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,863,0.063366284,0.063366284,,
30,FS891_RNA,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,3163,0.232245142,0.232245142,,
31,FS891_RNA,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,784,0.057565663,0.057565663,,
33,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,2853,0.209483209,0.209483209,,
34,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,1193,0.087596729,0.087596729,,
37,FS891_RNA,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,718,0.052719574,0.052719574,,
38,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,6209,0.455899489,0.455899489,,
39,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,757,0.055583172,0.055583172,,
40,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1546,0.113515962,0.113515962,,
41,FS891_RNA,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,4290,0.314995782,0.314995782,,
44,FS891_RNA,Arthropoda,Maxillopoda,Calanoida,Calanoida_fa,Calanoida_ge,840,0.061677496,0.061677496,,
57,FS891_RNA,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,71152,5.22437759,5.22437759,,
60,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,676,0.049635699,0.049635699,,
75,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,891,0.065422201,0.065422201,,
76,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,4583,0.33650948,0.33650948,,
95,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,361,0.026506638,0.026506638,,
106,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified,360,0.026433212,0.026433212,,
108,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,1101,0.080841575,0.080841575,,
123,FS891_RNA,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,1050,0.07709687,0.07709687,,
130,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineae_unclassified,Anaerolineae_unclassified,Anaerolineae_unclassified,871,0.063953689,0.063953689,,
131,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,409,0.030031066,0.030031066,,
134,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,7113,0.522276223,0.522276223,,
139,FS891_RNA,Chloroflexi,Anaerolineae,SJA-15,SJA-15_fa,SJA-15_ge,518,0.038034456,0.038034456,,
142,FS891_RNA,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,7751,0.569121749,0.569121749,,
149,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Conthreep_unclassified,Conthreep_unclassified,422,0.030985599,0.030985599,,
