,Sample.Name,Phylum,Class,Order,Family,Genus,Normalized.Counts
16,FS891_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,0.147071457
28,FS891_RNA,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,0.07959334
29,FS891_RNA,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,0.063366284
30,FS891_RNA,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,0.232245142
31,FS891_RNA,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.057565663
33,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.209483209
34,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,0.087596729
37,FS891_RNA,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.052719574
38,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.455899489
39,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.055583172
40,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.113515962
41,FS891_RNA,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.314995782
44,FS891_RNA,Arthropoda,Maxillopoda,Calanoida,Calanoida_fa,Calanoida_ge,0.061677496
57,FS891_RNA,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,5.22437759
60,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.049635699
75,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,0.065422201
76,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,0.33650948
95,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,0.026506638
106,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified,0.026433212
108,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,0.080841575
123,FS891_RNA,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,0.07709687
130,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineae_unclassified,Anaerolineae_unclassified,Anaerolineae_unclassified,0.063953689
131,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,0.030031066
134,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,0.522276223
139,FS891_RNA,Chloroflexi,Anaerolineae,SJA-15,SJA-15_fa,SJA-15_ge,0.038034456
142,FS891_RNA,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,0.569121749
149,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Conthreep_unclassified,Conthreep_unclassified,0.030985599
152,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified,0.108449597
155,FS891_RNA,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified,0.067184415
164,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,0.042733693
170,FS891_RNA,Cnidaria,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Hydrozoa_unclassified,0.043321098
176,FS891_RNA,Cnidaria,Scyphozoa,Scyphozoa_unclassified,Scyphozoa_unclassified,Scyphozoa_unclassified,0.284010183
177,FS891_RNA,Cnidaria,Scyphozoa,Semaeostomeae,Semaeostomeae_fa,Semaeostomeae_ge,0.314481803
217,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,2.316357092
219,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_Incertae_Sedis,Thiofractor,0.038401584
220,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1.784021564
224,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured,0.061530645
225,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.050076252
226,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.038695286
230,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,0.150008481
231,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,0.046478399
232,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.983682631
