,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
1,FS891_RNA,Acetothermia,Acetothermiia,Acetothermiia_or,Acetothermiia_fa,Acetothermiia_ge,288
2,FS891_RNA,Acidobacteria,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified,27
3,FS891_RNA,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),PAUC26f,24
4,FS891_RNA,Acidobacteria,c5LKS83,c5LKS83_or,c5LKS83_fa,c5LKS83_ge,1
5,FS891_RNA,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,11
6,FS891_RNA,Acidobacteria,Subgroup_26,Subgroup_26_or,Subgroup_26_fa,Subgroup_26_ge,6
7,FS891_RNA,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,254
8,FS891_RNA,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,Subgroup_6_unclassified,35
9,FS891_RNA,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,Unknown_Family_unclassified,3
10,FS891_RNA,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,29
11,FS891_RNA,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23,10
12,FS891_RNA,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculaceae_unclassified,2
13,FS891_RNA,Actinobacteria,Acidimicrobiia,Acidimicrobiia_unclassified,Acidimicrobiia_unclassified,Acidimicrobiia_unclassified,47
14,FS891_RNA,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge,31
15,FS891_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Microtrichaceae_unclassified,49
16,FS891_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,2003
17,FS891_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichales_unclassified,Microtrichales_unclassified,149
18,FS891_RNA,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,2
19,FS891_RNA,Actinobacteria,Actinobacteria,Micrococcales,Micrococcales_unclassified,Micrococcales_unclassified,1
20,FS891_RNA,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,139
21,FS891_RNA,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae_unclassified,16
22,FS891_RNA,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,12
23,FS891_RNA,Aegiribacteria,Aegiribacteria_cl,Aegiribacteria_or,Aegiribacteria_fa,Aegiribacteria_ge,23
24,FS891_RNA,Altiarchaeota,Altiarchaeia,Altiarchaeia_or,Altiarchaeia_fa,Altiarchaeia_ge,11
25,FS891_RNA,AncK6,AncK6_cl,AncK6_or,AncK6_fa,AncK6_ge,245
26,FS891_RNA,Annelida,Annelida_unclassified,Annelida_unclassified,Annelida_unclassified,Annelida_unclassified,208
27,FS891_RNA,Annelida,Polychaeta,Phyllodocida,Phyllodocida_fa,Phyllodocida_ge,3
28,FS891_RNA,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,1084
29,FS891_RNA,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,863
30,FS891_RNA,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,3163
31,FS891_RNA,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,784
32,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,182
33,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,2853
34,FS891_RNA,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,1193
35,FS891_RNA,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,6
36,FS891_RNA,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,32
37,FS891_RNA,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,718
38,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,6209
39,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,757
40,FS891_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1546
41,FS891_RNA,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,4290
42,FS891_RNA,Arthropoda,Arthropoda_unclassified,Arthropoda_unclassified,Arthropoda_unclassified,Arthropoda_unclassified,128
43,FS891_RNA,Arthropoda,Malacostraca,Eucarida_or,Eucarida_fa,Eucarida_ge,48
44,FS891_RNA,Arthropoda,Maxillopoda,Calanoida,Calanoida_fa,Calanoida_ge,840
45,FS891_RNA,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida_fa,Cyclopoida_ge,1
46,FS891_RNA,Arthropoda,Maxillopoda,Harpacticoida,Harpacticoida_fa,Harpacticoida_ge,5
47,FS891_RNA,Arthropoda,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified,303
48,FS891_RNA,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,2
49,FS891_RNA,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified,4
50,FS891_RNA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae_unclassified,19
