,Temperature,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
1140,Anenome_2014_30C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.006864518,
1147,Anenome_2014_30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,3.065042361,
1174,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.005763384,
1177,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,1.000837331,
1179,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,0.006079667,
1183,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,0.270152748,
1184,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,NA,0.006337379,
1185,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,0.009488497,
1188,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,NA,0.0054471,
1189,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,NA,0.006337379,
1190,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.016153874,
1192,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,5.902442784,
1193,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,NA,0.063619789,
1195,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,4.565314364,
1196,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,4.354341726,
1197,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,0.008469362,
1198,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,0.062834938,
1199,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,NA,0.004252253,
1200,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,1.142731366,
1201,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,33.13294252,
1202,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.085513618,
1204,Anenome_2014_30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.016025018,
1205,Anenome_2014_30C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,9.583686907,
1273,Anenome_2014_30C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.002799692,
1316,Anenome_2014_30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,1.300041281,
1334,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.101761206,
1337,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,0.011034771,
1344,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.195638759,
1346,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,1.607152312,
