sample_names[1]	Phylum	Class	Order	Family	Genus	Species	SUM
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified		4
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae_unclassified		1
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus		2
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		1
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		39221
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex		148491
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified		297090
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter		3
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Aquificales	Aquificales_unclassified	Aquificales_unclassified		6475
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermaceae_unclassified		127
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermus		79
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Persephonella		95
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified		211807
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium		1437
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified		2113542
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium		936070
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio		250690
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified		8
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Ascomycota	Eurotiomycetes	Eurotiales	Eurotiales_unclassified	Eurotiales_unclassified		5
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified		673677
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	cvE6_ge		2
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified		3
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313		2
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Dependentiae	Babeliae	Babeliales	UBA12409	UBA12409_ge		2
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter		19
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		38189
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus		4
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified		3
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus		127
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified		9
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris		30
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified		3
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcaceae_unclassified		28
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus		69
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum		1
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified		2
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Mollusca	Gastropoda	Gastropoda_unclassified	Gastropoda_unclassified	Gastropoda_unclassified		5
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Patescibacteria	ABY1	ABY1_unclassified	ABY1_unclassified	ABY1_unclassified		3
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Patescibacteria	Microgenomatia	Candidatus_Roizmanbacteria	Candidatus_Roizmanbacteria_fa	Candidatus_Roizmanbacteria_ge		7
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria_fa	Candidatus_Kaiserbacteria_ge		1
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria_fa	Candidatus_Nomurabacteria_ge		4
FS907_80_13H6_GGACCC_L001_trim_paired_merged_rRNA.nr_v132	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified		9
