,Temperature,Phylum,Class,Order,Family,Genus,Count,Normalized.Counts,Normalized.Counts,9435895,
5,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,39221,0.415657444,0.415657444,,
6,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,148491,1.5736822,1.5736822,,
7,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,297090,3.148508965,3.148508965,,
9,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,6475,0.068620942,0.068620942,,
13,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,211807,2.244694329,2.244694329,,
14,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1437,0.01522908,0.01522908,,
15,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2113542,22.39895633,22.39895633,,
16,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,936070,9.920309626,9.920309626,,
17,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,250690,2.656769708,2.656769708,,
20,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,673677,7.139513528,7.139513528,,
51,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,404,0.004281523,0.004281523,,
84,Anenome - 80C,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae_unclassified,4,4.23913E-05,4.23913E-05,,
85,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,45083,0.477781917,0.477781917,,
86,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,146988,1.557753663,1.557753663,,
87,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,306945,3.252950568,3.252950568,,
90,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,7648,0.081052195,0.081052195,,
94,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,248838,2.637142529,2.637142529,,
95,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1197,0.012685601,0.012685601,,
96,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2224555,23.5754531,23.5754531,,
97,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,874110,9.263668152,9.263668152,,
98,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,240401,2.547728647,2.547728647,,
101,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,660816,7.003214851,7.003214851,,
133,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,406,0.004302719,0.004302719,,
178,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,2385,1.587491763,1.587491763,150237,
179,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,2999,1.99617937,1.99617937,,
183,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2029,1.350532825,1.350532825,,
184,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,750,0.499211246,0.499211246,,
185,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,779,0.518514081,0.518514081,,
186,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,1096,0.729514034,0.729514034,,
