,Temperature,Phylum,Class,Order,Family,Genus,Normalized.Counts
1140,Anenome - 30C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.008038812
1141,Anenome - 30C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.003114011
1147,Anenome - 30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3.589370879
1174,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.00674931
1177,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1.17204787
1179,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,0.007119699
1183,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.316367049
1184,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.007421497
1185,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.011111669
1188,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,0.006378921
1189,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,0.007421497
1190,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.018917273
1192,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,6.91215773
1193,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,0.074503055
1195,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,5.346290362
1196,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,5.099227204
1197,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,0.009918193
1198,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.073583941
1199,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.004979674
1200,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1.338215334
1201,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,38.8009055
1202,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.100142202
1204,Anenome - 30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.018766374
1273,Anenome - 30C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.003278628
1316,Anenome - 30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,1.522435831
1334,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,0.11916922
1337,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.012922459
1339,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.002414387
1344,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.229106153
1346,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,1.882083517
1347,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,11.76563871
1349,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.013608365
1351,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2.01923718
1352,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,19.47763084
1353,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.011495776
1354,Anenome - 30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.008230866
1451,Anenome - 55C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.001677964
1456,Anenome - 55C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.001950707
1461,Anenome - 55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3.705039751
1506,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,0.063430603
1511,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.069081133
1512,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.002347964
1513,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.027831674
1518,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.008336458
1520,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.56803534
1521,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,65.90296173
1522,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,0.1132359
1523,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.263974003
1524,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.017473358
1525,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,10.50847888
1526,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.061094497
1527,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.417149007
1529,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.028051055
1627,Anenome - 55C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.010257519
1641,Anenome - 55C,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.006990529
1662,Anenome - 55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.744808569
1671,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,3.01069462
1674,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,2.075025039
1676,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.853401903
1682,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.000948672
1683,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.275393646
1684,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,9.832964893
1688,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1.424170605
1689,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.001677964
1691,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.003516017
5,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.415657444
6,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,1.5736822
7,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,3.148508965
9,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,0.068620942
13,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.244694329
14,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.01522908
15,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,22.39895633
16,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,9.920309626
17,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,2.656769708
20,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,7.139513528
51,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,0.004281523
84,Anenome - 80C,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae_unclassified,4.24E-05
85,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.477781917
86,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,1.557753663
87,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,3.252950568
90,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,0.081052195
94,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.637142529
95,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.012685601
96,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,23.5754531
97,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,9.263668152
98,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,2.547728647
101,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,7.003214851
133,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,0.004302719
178,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,1.587491763
179,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,1.99617937
183,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,1.350532825
184,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.499211246
185,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.518514081
186,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.729514034
194,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,2.65713506
200,Metatranscriptome,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_unclassified,Bacteroidetes_unclassified,0.447958892
246,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,1.768539042
249,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,2.403535747
257,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,4.940860108
261,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,3.588996053
263,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1.2872994
264,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,3.34604658
265,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.910561313
276,Metatranscriptome,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II_unclassified,4.932207113
304,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia,SAR406,0.801400454
365,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,0.351444717
370,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithrix,0.503870551
380,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1.037028162
385,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,0.67293676
390,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.352110332
397,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,1.121561267
413,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,1.367838815
415,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,2.663125595
417,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,4.144118959
418,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriales_unclassified,0.372078782
432,Metatranscriptome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1.043018697
433,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,0.769450934
434,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,1.676018557
