,Year,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
23,Marker113 - 55C - 2013,Epsilonbacteraeota,Epsilonbacteraeota,Epsilonbacteraeota,Epsilonbacteraeota,Epsilonbacteraeota,NA,0.040226164,
24,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacteria,Campylobacteria,Campylobacteria,NA,0.707845896,
25,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales,Campylobacterales,NA,2.422841283,
30,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,,NA,2.354277357,
31,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,4.050206439,
32,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,NA,0.01682321,
39,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,,NA,25.40214948,
40,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,50.29698573,
41,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,0.119183095,
42,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,2.684535657,
45,Marker113 - 55C - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,1.255534836,
46,Marker113 - 55C - 2013,Euryarchaeota,Euryarchaeota,Euryarchaeota,Euryarchaeota,Euryarchaeota,NA,0.007626522,
50,Marker113 - 55C - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,NA,0.042843107,
51,Marker113 - 55C - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,,NA,2.137220566,
52,Marker113 - 55C - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,NA,0.010243465,
53,Marker113 - 55C - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,NA,6.848766074,
101,Marker113 - 55C - 2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,,NA,0.05017055,
102,Marker113 - 55C - 2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,NA,1.552520565, 
120,Marker113 - 55C - 2014,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,1.455889541,
141,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.002871668,
143,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,2.195058129,
148,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,2.208522768,
149,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,NA,0.018011994,
150,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,3.533472146,
151,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,NA,0.001616545,
154,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,NA,0.000827987,
155,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.000650561,
156,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.002424818,
158,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.293350387,
159,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,27.34709552,
160,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,0.023453048,
161,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,0.114419859,
162,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,NA,0.003305375,
163,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,2.755112193,
