sample_names[1]	Phylum	Class	Order	Family	Genus	Species	SUM
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132		NA	NA	NA	NA	NA	2835336
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)		NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Acidobacteria	Holophagae	Holophagales	Holophagaceae		NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium		2
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Aquificae		NA	NA	NA	NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae		NA	57
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium		2
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium		235
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Ascomycota		NA	NA	NA	NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium		2
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia		NA	NA	NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae		NA	7
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix		46
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Chloroflexi	Anaerolineae	SBR1031		NA	NA	2
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Cloacimonetes	Cloacimonadia	Cloacimonadales		NA	NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei		NA	NA	NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae		NA	1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota		NA	NA	NA	NA	538
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria		NA	NA	NA	9467
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales		NA	NA	32404
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter		16
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Helicobacteraceae		NA	3
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Helicobacteraceae	uncultured		11
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae		NA	31487
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Hydrogenimonas		54169
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Nitratiruptor		225
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	P6-b51	P6-b51_ge		41
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum		1
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae		NA	4
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Nitratifractor		6
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum		11
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas		20
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae		NA	339738
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter		672691
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Lebetimonas		1594
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia		35904
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautiliaceae_ge		80
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Thioreductor		3
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	uncultured		16792
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota		NA	NA	NA	NA	102
FS903_55_13H_CCTTCA_L002_trim_paired_merged_rRNA.nr_v132	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae		NA	2
