,Year,Phylum,Class,Order,Family,Genus,SUM,Normalized.Counts,Normalized.Counts,
23,2013,Epsilonbacteraeota,,NA,Other,Other,538,0.040233353,0.040233353,1337199
24,2013,Epsilonbacteraeota,Campylobacteria,NA,Other,Other,9467,0.707972411,0.707972411,
25,2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Other,Other,32404,2.423274322,2.423274322,
30,2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,,31487,2.354698141,2.354698141,
31,2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,54169,4.05093034,4.05093034,
32,2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,225,0.016826217,0.016826217,
39,2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,339738,25.40668966,25.40668966,
40,2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,672691,50.3059754,50.3059754,
41,2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,1594,0.119204397,0.119204397,
42,2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,35904,2.685015469,2.685015469,
45,2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,16792,1.25575924,1.25575924,
50,2013,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,573,0.042850765,0.042850765,
51,2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,28584,2.137602556,2.137602556,
53,2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,91598,6.849990166,6.849990166,
101,2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotogaceae_unclassified,671,0.050179517,0.050179517,
102,2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,20764,1.55279805,1.55279805,
120,2014,Other ,Other,Other,Other,Other,221552,1.574805164,1.574805164,
141,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,437,0.003106223,0.003106223,
143,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,334036,2.374348315,2.374348315,
148,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,336085,2.388912732,2.388912732,
149,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,2741,0.019483196,0.019483196,
150,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,537711,3.82208267,3.82208267,
156,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,369,0.002622875,0.002622875,
158,2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,44641,0.317310958,0.317310958,
159,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,4161582,29.58077935,29.58077935,
160,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,3569,0.02536867,0.02536867,
161,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,17412,0.123765561,0.123765561,
162,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,503,0.003575355,0.003575355,
163,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,419263,2.980147043,2.980147043,
164,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,335,0.0023812,0.0023812,
165,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,41525,0.295162239,0.295162239,
166,2014,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,1461,0.010384877,0.010384877,
237,2014,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,374,0.002658415,0.002658415,
262,2014,Other,Other,Other,Other,Other,156364,1.111444874,1.111444874,
280,2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,473,0.003362113,0.003362113,
291,2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,53987,0.383742897,0.383742897,
292,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,5453106,38.76101092,38.76101092,
293,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,797,0.005665125,0.005665125,
296,2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2273228,16.15824364,16.15824364,
299,2014,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,5540,0.039378659,0.039378659,
381,2014,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,486,0.003454518,0.003454518,
391,2014,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillaceae_unclassified,353,0.002509146,0.002509146,
392,2014,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,604,0.004293269,0.004293269,
