,Year,Phylum,Class,Order,Family,Genus,Normalized.Counts
23,Marker 113 - 2013,Epsilonbacteraeota,,NA,Other,Other,0.040233353
24,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,NA,Other,Other,0.707972411
25,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Other,Other,2.423274322
30,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,2.354698141
31,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,4.05093034
32,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.016826217
39,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,25.40668966
40,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,50.3059754
41,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,0.119204397
42,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,2.685015469
45,Marker 113 - 2013,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1.25575924
50,Marker 113 - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.042850765
51,Marker 113 - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,2.137602556
53,Marker 113 - 2013,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,6.849990166
101,Marker 113 - 2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotogaceae_unclassified,0.050179517
102,Marker 113 - 2013,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,1.55279805
120,Marker 113 - 2014,Other ,Other,Other,Other,Other,1.574805164
141,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.003106223
143,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,2.374348315
148,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,2.388912732
149,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.019483196
150,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,3.82208267
156,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.002622875
158,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.317310958
159,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,29.58077935
160,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,0.02536867
161,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.123765561
162,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.003575355
163,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2.980147043
164,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.0023812
165,Marker 113 - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.295162239
166,Marker 113 - 2014,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.010384877
