study_accession	sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_name	nominal_length	library_source	read_count	base_count	study_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
PRJEB19456	SAMEA101254168	ERX2080779	ERR2021503	hydrothermal vent metagenome	NextSeq 500	FS917_Marker33_DNA	275	METAGENOMIC	26174287	7824411616	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-1	2066527258;2132784958	32123447f07edfb2f551395c2d1286bf;634a4fee467dbfb3350a479d7d448bd5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021503/ERR2021503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021503/ERR2021503_2.fastq.gz	FS917_Marker33_DNA
PRJEB19456	SAMEA101254918	ERX2080780	ERR2021504	hydrothermal vent metagenome	NextSeq 500	FS917_Marker33_RNA	275	METATRANSCRIPTOMIC	13407821	4028996459	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-2	1000774016;1029618372	d8f5a53cdd229268de565594387f4fc7;e292451620828c5087d30f844631d605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021504/ERR2021504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021504/ERR2021504_2.fastq.gz	FS917_Marker33_RNA
PRJEB19456	SAMEA101255668	ERX2080781	ERR2021505	hydrothermal vent metagenome	NextSeq 500	FS914_Anemone_DNA	275	METAGENOMIC	20038786	5975662329	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-3	1609656763;1648608359	75eb9a8eb1578f8f1fa9cc299d542c6e;c9c0f257e90c1563b8f85560986d5dcd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021505/ERR2021505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021505/ERR2021505_2.fastq.gz	FS914_Anemone_DNA
PRJEB19456	SAMEA101256418	ERX2080782	ERR2021506	hydrothermal vent metagenome	NextSeq 500	FS914_Anemone_RNA	275	METATRANSCRIPTOMIC	11933325	3573305428	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-4	831286555;849349572	b2118586abcec37ccad6d3ff55770c14;ef4c1d3c7c988ec3e700b86e6824d3d2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021506/ERR2021506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021506/ERR2021506_2.fastq.gz	FS914_Anemone_RNA
PRJEB19456	SAMEA101257168	ERX2080783	ERR2021507	hydrothermal vent metagenome	NextSeq 500	FS915_Marker113_DNA	275	METAGENOMIC	29169063	8703346138	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-5	2335988389;2402363005	364a8a2c3a3dda033e3e9c557b242ea3;3880cde3d6e1cd5908bcc44b27119251	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021507/ERR2021507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021507/ERR2021507_2.fastq.gz	FS915_Marker113_DNA
PRJEB19456	SAMEA101257918	ERX2080784	ERR2021508	hydrothermal vent metagenome	NextSeq 500	FS915_Marker113_RNA	275	METATRANSCRIPTOMIC	11178843	3363975529	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-6	709787571;720267751	ceef2e68579369e8d33fb82dd530b74d;aafc7339e87e6c133132df4289f9036b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021508/ERR2021508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021508/ERR2021508_2.fastq.gz	FS915_Marker113_RNA
PRJEB19456	SAMEA101258668	ERX2080785	ERR2021509	hydrothermal vent metagenome	NextSeq 500	FS918_NorthRiftZone_DNA	275	METAGENOMIC	26444144	7923967515	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-7	2106618895;2186430957	f9e30e89b3b3e41e5b74fce703ed6304;c8edcc84209ae9d8895fa09c0f911037	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021509/ERR2021509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021509/ERR2021509_2.fastq.gz	FS918_NorthRiftZone_DNA
PRJEB19456	SAMEA101259418	ERX2080786	ERR2021510	hydrothermal vent metagenome	NextSeq 500	FS918_NorthRiftZone_RNA	275	METATRANSCRIPTOMIC	13115867	3944026044	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-8	1054935021;1079288186	ba68f9063793da441636eed5d9339372;e418665a63421dcc75d4f14493b5e7c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021510/ERR2021510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021510/ERR2021510_2.fastq.gz	FS918_NorthRiftZone_RNA
PRJEB19456	SAMEA101260168	ERX2080787	ERR2021511	hydrothermal vent metagenome	NextSeq 500	AnemonePlume_2015_DNA	275	METAGENOMIC	25971522	7740643687	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-9	2093450014;2132838571	ade6de63ced49f381f6ddd814961baf4;042f341210cbdb9c1cdaee730abb0005	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021511/ERR2021511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021511/ERR2021511_2.fastq.gz	AnemonePlume_2015_DNA
PRJEB19456	SAMEA101260918	ERX2080788	ERR2021512	hydrothermal vent metagenome	NextSeq 500	AnemonePlume_2015_RNA	275	METATRANSCRIPTOMIC	27752200	8299373454	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-10	1928380148;1980876344	c573acfa37e8e515ec9e9ffe573ca359;2a6715737d8cce1e9f3f82e31860bd26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021512/ERR2021512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021512/ERR2021512_2.fastq.gz	AnemonePlume_2015_RNA
PRJEB19456	SAMEA101261668	ERX2080789	ERR2021513	marine metagenome	NextSeq 500	Background_1500m_2015_DNA	275	METAGENOMIC	20534909	6150690918	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-11	1699648830;1744347934	f1dda9b363575617284b5bc4bc323722;417da8a7aceb80f63d2ef47eadccdaeb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021513/ERR2021513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021513/ERR2021513_2.fastq.gz	Background_1500m_2015_DNA
PRJEB19456	SAMEA101262418	ERX2080790	ERR2021514	marine metagenome	NextSeq 500	Background_1500m_2015_RNA	275	METATRANSCRIPTOMIC	22798284	6849365098	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2015	ena-EXPERIMENT-MBL-29-06-2017-21:51:33:797-12	1754598081;1785421023	4eddc62fa43e5bee1d3ae4a3e294149a;49b77ce8843be7e827942699ef129a9b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021514/ERR2021514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021514/ERR2021514_2.fastq.gz	Background_1500m_2015_RNA
