study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
PRJEB7866	SAMEA3143267	ERX639090	ERR694110	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351383192;354840024	89d9a8f98acb93f1c499877a695d974e;7de642fdf3a2b3aefe98f0b41d6fa5a3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694110/ERR694110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694110/ERR694110_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639091	ERR694111	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	351056928;357128637	6b4c317b4e6f83c7dc6c87345aa343fc;e490709f39247b82438635b6fe0e9642	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694111/ERR694111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694111/ERR694111_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639092	ERR694112	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350362583;356700610	0bdd3cfe0abc6b145ed6e8d19305e327;beb1be6dc2272ea52abe7c76c6b942a5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694112/ERR694112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694112/ERR694112_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639093	ERR694113	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	344807262;350546090	7ae31365cb43b371c168bf9b8c0d6433;bfa9cd3537d96f9b7e3130a671126c00	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694113/ERR694113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694113/ERR694113_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639094	ERR694114	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	345995782;351214626	cc5cca8414c8e9353aa0ae38f9b06b3c;c35b5599f6af58455910ef7598b4ccc6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694114/ERR694114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694114/ERR694114_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639095	ERR694115	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	350680705;357178495	0302bd73850529935d261002aaa3b8ec;1f64bf9b3d4f99aeb35c3d428904e468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694115/ERR694115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694115/ERR694115_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639096	ERR694116	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	344719720;351675122	bec08531c5218c25d9f4184704cb4852;0a4b26c6e93012c0f6cb520c80faa280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694116/ERR694116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694116/ERR694116_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639097	ERR694117	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	341681048;346479503	aa4b7e7621ca275ec7661190d70b4027;7e9d439ed2a47ae2735e2f1e128a0ffa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694117/ERR694117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694117/ERR694117_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639098	ERR694118	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	1915109	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	173424545;176361864	284463ab0f7e4b43149340f084642e81;e86143fc1bf723e68ab66f0c0848a0d5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694118/ERR694118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694118/ERR694118_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639099	ERR694119	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	352348700;353366730	b58b4e421dce5fac7d59a69f6b6fbb18;37b210a0b3b5fe1f5af45402dc5deed7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694119/ERR694119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694119/ERR694119_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639100	ERR694120	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	354590127;355955962	786046090aa26381b547f8ef6604596c;83a08545227de15053bcb43d05a3ba4c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694120/ERR694120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694120/ERR694120_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639101	ERR694121	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	360148503;360824797	e7c58554d140a85a4a1fdf02dab4d765;2b48a71c802037aa149ddfe4879fe335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694121/ERR694121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694121/ERR694121_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639102	ERR694122	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	361104261;362304739	1b3374249559b5c0d94f9c2681eca60a;6b5f8c1264304c0c336fd7eda743df9c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694122/ERR694122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694122/ERR694122_2.fastq.gz	FS891_Anemone_DNA
PRJEB7866	SAMEA3143267	ERX639103	ERR694123	metagenome	FS891_Anemone_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2013	355554487;357228376	4a0c4d3524c1d9e16f80e48a6183e6cb;7c25ae7797644dfe10fbd7a8830d0689	ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694123/ERR694123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR694/ERR694123/ERR694123_2.fastq.gz	FS891_Anemone_DNA
